"Admin Panel","Административен панел"
"Cloudflare Turnstile","Cloudflare Turnstile"
Enabled,Активирано
"Forms to validate","Формуляри за проверка"
"Secret key","Тайният ключ"
"Security validation error: %1","Грешка при проверката на сигурността: %1"
Settings,Настройки
"Site key","Ключ на сайта"
Size,"Размер"
Storefront,Витрина
Theme,Тема
"Unable to secure the form","Не е възможно да се защити формулярът"
"Unable to secure the form. The site key is missing.","Не е възможно да се защити формулярът. Липсва ключът на сайта."
