"Admin Panel","Admin Panel"
"Cloudflare Turnstile","Cloudflare Turnstile"
Enabled,Enabled
"Forms to validate","Forms to validate"
"Secret key","Secret key"
"Security validation error: %1","Security validation error: %1"
Settings,Settings
"Site key","Site key"
Sitekey,Sitekey
Size,Size
Storefront,Storefront
Theme,Theme
"Unable to secure the form","Unable to secure the form"
"Unable to secure the form. The site key is missing.","Unable to secure the form. The site key is missing."
"Unable to secure the form. The sitekey is missing.","Unable to secure the form. The sitekey is missing."
"an internal error happened while validating the response.","an internal error happened while validating the response."
"please validate the security field or wait a few seconds before submitting the form.","please validate the security field or wait a few seconds before validating."
"the request was rejected because it was malformed.","the request was rejected because it was malformed."
"the response parameter has already been validated before.","the response parameter has already been validated before."
"the response parameter is invalid or has expired.","the response parameter is invalid or has expired."
"the response parameter was not passed.","the response parameter was not passed."
"the secret parameter was invalid or did not exist.","the secret parameter was invalid or did not exist."
"the secret parameter was not passed.","the secret parameter was not passed."
"unable to contact Cloudflare to validate the form.","unable to contact Cloudflare to validate the form."
"unable to validate the form, the secret key is missing.","unable to validate the form, the secret key is missing."
"unknown error.","unknown error."
